state,unmet_need,se.unmet_need,year,pred,pred_upper,pred_lower
Africa:Senegal:Diourbel:Bambey,,,2022,0.1957634405522472,0.2943675509596319,0.1231229777841803
Africa:Senegal:Diourbel:Bambey,,,2023,0.193568050210856,0.3053117796224625,0.1145931666533804
Africa:Senegal:Diourbel:Bambey,,,2024,0.1921173640988525,0.3162950039195036,0.1076103036537764
Africa:Senegal:Diourbel:Bambey,,,2025,0.191399598907447,0.327617545531631,0.1018265254182124
Africa:Senegal:Diourbel:Diourbel,,,1990,0.3182544160208491,0.4663635486317609,0.200073079914745
Africa:Senegal:Diourbel:Diourbel,,,1991,0.3187303506373233,0.4504807665473965,0.2112781861055839
Africa:Senegal:Diourbel:Diourbel,,,1992,0.3196892721141801,0.4335793218718439,0.2244752829798934
Africa:Senegal:Diourbel:Diourbel,0.3578947368421052,0.0576070069529558,1993,0.3210927132665519,0.4143636823789603,0.2407202117718186
Africa:Senegal:Diourbel:Diourbel,,,1994,0.3146181402850655,0.4182984224975355,0.2272342107021848
Africa:Senegal:Diourbel:Diourbel,,,1995,0.3086525516147486,0.4191730640099934,0.2169699397787626
Africa:Senegal:Diourbel:Diourbel,,,1996,0.3032222522821888,0.418098385820267,0.2090667575785533
Africa:Senegal:Diourbel:Diourbel,,,1997,0.2983110462160506,0.415514390145265,0.2031028786650629
Africa:Senegal:Diourbel:Diourbel,,,1998,0.2939052997055359,0.4116895674308352,0.1987869455145363
Africa:Senegal:Diourbel:Diourbel,,,1999,0.2899927707101762,0.4066416157419168,0.1960129834659612
Africa:Senegal:Diourbel:Diourbel,,,2000,0.2865623292815824,0.4003412618542453,0.1947992280030199
Africa:Senegal:Diourbel:Diourbel,,,2001,0.2836036625229129,0.3926218040627062,0.195245565673947
Africa:Senegal:Diourbel:Diourbel,,,2002,0.281107462236021,0.3831618701758774,0.1976127986114938
Africa:Senegal:Diourbel:Diourbel,,,2003,0.2790656175765569,0.3713995877189932,0.2023892363925549
Africa:Senegal:Diourbel:Diourbel,,,2004,0.277472471060492,0.3561160358540888,0.2105820170188828
Africa:Senegal:Diourbel:Diourbel,0.2906095789392184,0.0351216974360372,2005,0.2764618606216852,0.3343933276942717,0.2252505255067039
Africa:Senegal:Diourbel:Diourbel,,,2006,0.2644772391002061,0.3364751989472091,0.202978886540578
Africa:Senegal:Diourbel:Diourbel,,,2007,0.2533859030008019,0.3300775761579038,0.1890010628366702
Africa:Senegal:Diourbel:Diourbel,,,2008,0.2430071269055242,0.3177155505360333,0.1805031292981846
Africa:Senegal:Diourbel:Diourbel,,,2009,0.233300149275108,0.2997185760609013,0.1770476680861411
Africa:Senegal:Diourbel:Diourbel,0.1944980215812756,0.0302183564182567,2010,0.2241318328239723,0.2742468237674351,0.1802593550080485
Africa:Senegal:Diourbel:Diourbel,,,2011,0.2321133268752121,0.2898663606643339,0.1820879274372219
